0    0    -0.105338
0    1    -0.0399422
0    2    -0.0309019
0    3    -0.0238414
0    4    -0.0196681
0    5    -0.0168775
0    6    -0.0148641
0    7    -0.0133344
0    8    -0.0121277
0    9    -0.0111485
1    0    -0.0399422
1    1    -0.0765316
1    2    -0.0350771
1    3    -0.0330929
1    4    -0.0263826
1    5    -0.0222018
1    6    -0.0193081
1    7    -0.0171687
1    8    -0.0155135
1    9    -0.0141895
2    0    -0.0309019
2    1    -0.0350771
2    2    -0.0561881
2    3    -0.0286322
2    4    -0.0332927
2    5    -0.0271212
2    6    -0.0231496
2    7    -0.0203359
2    8    -0.018219
2    9    -0.0165588
3    0    -0.0238414
3    1    -0.0330929
3    2    -0.0286322
3    3    -0.0392701
3    4    -0.0220768
3    5    -0.0329546
3    6    -0.0272649
3    7    -0.023523
3    8    -0.0208277
3    9    -0.0187732
4    0    -0.0196681
4    1    -0.0263826
4    2    -0.0332927
4    3    -0.0220768
4    4    -0.0241683
4    5    -0.0156364
4    6    -0.0324419
4    7    -0.0271582
4    8    -0.0236295
4    9    -0.021056
5    0    -0.0168775
5    1    -0.0222018
5    2    -0.0271212
5    3    -0.0329546
5    4    -0.0156364
5    5    -0.0101774
5    6    -0.00934135
5    7    -0.0318778
5    8    -0.0269352
5    9    -0.0235964
6    0    -0.0148641
6    1    -0.0193081
6    2    -0.0231496
6    3    -0.0272649
6    4    -0.0324419
6    5    -0.00934135
6    6    0.00307047
6    7    -0.00318141
6    8    -0.0313103
6    9    -0.0266569
7    0    -0.0133344
7    1    -0.0171687
7    2    -0.0203359
7    3    -0.023523
7    4    -0.0271582
7    5    -0.0318778
7    6    -0.00318141
7    7    0.01579
7    8    0.00286113
7    9    -0.0307593
8    0    -0.0121277
8    1    -0.0155135
8    2    -0.018219
8    3    -0.0208277
8    4    -0.0236295
8    5    -0.0269352
8    6    -0.0313103
8    7    0.00286113
8    8    0.0281165
8    9    0.00880341
9    0    -0.0111485
9    1    -0.0141895
9    2    -0.0165588
9    3    -0.0187732
9    4    -0.021056
9    5    -0.0235964
9    6    -0.0266569
9    7    -0.0307593
9    8    0.00880341
9    9    0.0401405
